3233 2FOC_5, Brushelss motor controller        
2FOC_5	Revision: D

Istituto Italiano di Tecnologia
via Morego, 30
16163 - Genova

Bill Of Materials        January 12,2011

Itm 	Qty 	Ref                            	Value                     	IIT_Code   	Device                    	Package         	
-----------------------------------------------------------------------------------------------------------------------------
1   	3   	F8,F9,F10                      	                          	        NM 	                          	FIDBOT          	
2   	3   	F5,F6,F7                       	                          	        NM 	                          	FIDTOP          	
3   	40  	UC1,UC2,UC3,UC4,UC5,UC6,UC7,   	                          	        NM 	                          	FISS05          	
    	    	UC8,UC9,UC10,UC11,UC12,UC13,   	                          	           	                          	                	
    	    	UC14,UC15,UC16,UC17,UC18,UC19, 	                          	           	                          	                	
    	    	UC20,UC21,UC22,UC23,UC24,UC25, 	                          	           	                          	                	
    	    	UC26,UC27,UC28,UC29,UC30,UC31, 	                          	           	                          	                	
    	    	UC32,UC33,UC34,UC35,UC36,UC37, 	                          	           	                          	                	
    	    	UC38,UC39,UC40                 	                          	           	                          	                	
4   	1   	HX2                            	                          	        NM 	                          	FISS32AA        	
5   	1   	HX1                            	                          	        NM 	                          	FISS32ABA       	
6   	4   	H1,H2,H3,H4                    	                          	        NM 	                          	FORO25          	
7   	5   	F1,F2,F3,F4,F11                	                          	        NM 	                          	JUMP-SM         	
8   	2   	R15,R37                        	0.015                     	       577 	                          	WSK             	
9   	2   	R40,R43                        	0R00                      	      1080 	                          	0402            	
10  	2   	R18,R22                        	0R00                      	      1080 	RES0402                   	0402            	
11  	6   	R38,R39,R44,R48,R107,R108      	0R00                      	        NM 	                          	0402            	
12  	1   	XT1                            	10.0MHZ                   	      1278 	                          	OSC_2X25        	
13  	8   	R30,R54,R78,R81,R94,R105,R109, 	100K                      	      1275 	                          	0402            	
    	    	R110                           	                          	           	                          	                	
14  	2   	R51,R53                        	100K                      	       468 	                          	0603            	
15  	2   	R7,R47                         	100K                      	        NM 	                          	0402            	
16  	24  	C7,C8,C15,C16,C20,C24,C25,C30, 	100NF                     	      1035 	                          	0402            	
    	    	C31,C32,C33,C39,C40,C42,C44,   	                          	           	                          	                	
    	    	C45,C48,C49,C50,C61,C62,C73,   	                          	           	                          	                	
    	    	C74,C83                        	                          	           	                          	                	
17  	6   	C4,C5,C6,C12,C13,C14           	100NF                     	       478 	                          	0603            	
18  	12  	C53,C54,C55,C56,C59,C60,C66,   	100PF                     	      1036 	                          	0402            	
    	    	C67,C68,C69,C70,C71            	                          	           	                          	                	
19  	4   	C57,C58,C64,C65                	100PF                     	        NM 	                          	0402            	
20  	16  	R9,R10,R11,R12,R69,R70,R75,    	100R                      	      1085 	                          	0402            	
    	    	R76,R82,R83,R84,R85,R86,R87,   	                          	           	                          	                	
    	    	R88,R89                        	                          	           	                          	                	
21  	1   	R92                            	100k                      	      1275 	                          	0402            	
22  	16  	R49,R50,R98,R99,U21,U22,U23,   	10K                       	      1109 	                          	0402            	
    	    	U24,U25,U26,U27,U28,U29,U30,   	                          	           	                          	                	
    	    	U31,U32                        	                          	           	                          	                	
23  	1   	C22                            	10NF                      	      1075 	                          	0402            	
