5443 MC4-PLUS, MC4 with Ethernet  Revised: Thursday, January 17, 2013						
Revision: A 					
						
Istituto Italiano di Tecnologia						
"Via Morego, 30"						
16163 - Genova						
						
						
						
"Bill Of Materials       January 17,2013	  14:45:49"	Page1					
											
						
Item	Quantity	Reference	Value	IITCODE	Rev	NonMontare
______________________________________________						
						
1	48	C1,C2,C3,C4,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C25,C27,C28,C41,C44,C46,C47,C49,C50,C62,C66,C68,C69,C87,C91,C93,C94,C95,C96,C98,C100,C101,C102,C103,C105,C106,C108,C109,C110,C111	100nF	1035		
2	2	C6,C7	2.2uF	4036		
3	9	C8,C9,C24,C70,C88,C92,C97,C99,C104	10uF	479		
4	4	C26,C33,C48,C59	10pF	1271		
5	11	C29,C34,C38,C40,C42,C51,C52,C60,C61,C63,C64	100pF	1682		
6	4	C30,C35,C53,C54	22uF	5220		
7	4	C31,C32,C56,C57	100nF 0603	5109		
8	2	C36,C58	220nF	5107		
9	2	C37,C55	10nF	5108		
10	1	C39	10pF	1714		
11	4	C43,C45,C65,C67	1nF	1348		
12	6	C71,C75,C77,C79,C83,C85	22nF	665		
13	4	C72,C73,C80,C81	1uF	1078		
14	2	C74,C82	100uF	1079		
15	1	C76	330pF	1684		
16	2	C78,C86	470nF	1041		
17	1	C84	470pF	658		
18	2	C89,C90	1nF 1206	1077		
19	4	DL1,DL3,DL7,DL8	GREEN	1654		
20	1	DL2	YELLOW	1656		
21	2	DL4,DL6	ORANGE	1653		
22	1	DL5	BLUE	4230		
23	2	D1,D2	BAV99E6327	1292		
24	1	D3	SS19L	565		
25	2	D4,D5	10MQ100N	1031		
26	1	D6	BAS16LD	5325		
27	8	FL1,FL2,FL3,FL9,FL11,FL15,FL16,FL17	600R @100MHz	1118		
28	1	FL4	375R @100MHz	5454		
29	1	FL5	330uH@100KHz	545		
30	3	FL6,FL7,FL8	600R @100MHz	1118		NM
31	2	FL10,FL14	600R @100MHz 4	1119		
32	3	H1,H2,H3	M2.5 Metallized hole	4268		NM
33	1	JP1	JUMPER-SM	4870		
34	1	L1	33uH	1122		
35	1	L2	47uH	1711		
36	1	P1	501591-3011	1126		
37	4	P2,P3,P4,P5	53261-1071	1072		
38	1	P6	53261-0471	288		
39	1	P7	87438-0543	5452		<TO COMPLETE>
40	2	P8,P9	53261-0671	1124		
41	2	P10,P11	53261-0771	631		<TO COMPLETE>
42	2	P12,P13	53261-0571	630		
43	2	RR4,RR5	2K2	1116		
44	5	R1,R42,R43,R69,R70	22K 0402	1112		
45	10	R2,R5,R21,R34,R44,R45,R49,R61,R71,R72	33K	1113		
46	2	R3,R4	330K	3174		
47	12	R6,R36,R39,R63,R68,R93,R94,R109,R110,R119,R126,R127	10K	1109		
48	15	R7,R8,R10,R11,R13,R14,R15,R17,R19,R46,R47,R73,R74,R75,R76	4K7 0402	1107		
49	12	R9,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138	4K7	1100		
50	8	R12,R16,R18,R82,R90,R91,R99,R112	220R	1087		
51	4	R20,R31,R48,R57	18K 0402	1111		
52	4	R22,R29,R50,R56	0R05	5453		
53	14	R23,R24,R25,R26,R28,R32,R33,R51,R52,R54,R55,R58,R59,R108	1K	1100		
54	3	R27,R53,R125	100R	1085		
55	8	R30,R37,R40,R41,R60,R64,R66,R67	4K7 0402	1107		NM
56	4	R35,R38,R62,R65	100K	4001		
57	1	R77	68K	1114		
58	1	R78	2K2 0402	1105		
59	1	R79	12K	1704		
60	2	R80,R87	18K	3578		
61	2	R81,R88	22K	808		
62	1	R83	1K3	1698		
63	1	R84	68K	1114		NM
64	1	R85	5K6	3468		
65	1	R86	12K	1704		NM
66	1	R89	1K8	267		
67	1	R92	120K	1284		
68	8	R95,R96,R97,R98,R102,R103,R104,R105	49R9	1081		
69	11	R100,R101,R106,R107,R111,R113,R114,R115,R116,R117,R118	0R	1080		NM
70	1	R120	3K01	1106		
71	4	R121,R122,R123,R124	75R	1084		
72	9	TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9	SMOX/060/B1/LP GOLD	3583		
73	1	U1	STM32F407IGH6	5111		
74	1	U2	AT24C1024B-TH25-B	4125		
75	4	U3,U5,U6,U8	LT1999-20	5455		
76	2	U4,U7	L6206Q	5106		
77	2	U9,U10	LM5575MH	1008		
78	1	U11	MAX3051	241		
79	4	U12,U13,U14,U15	SN74LVC2T45DCUT	1328		
80	1	U16	KSZ8893MBL	1004		
81	1	U17		5110		
82	1	U18	S23305-50.000-X	1226		
83	8	1,2,3,4,5,6,7,8	NODEK	4875		
