5443 MC4-PLUS, MC4 with Ethernet  Revised: Thursday, September 17, 2014						
Revision: B 					
						
Istituto Italiano di Tecnologia						
"Via Morego, 30"						
16163 - Genova						
						
						
						
"Bill Of Materials       September 17,2014	  14:45:49"	Page1					
											
						
Item	Quantity	Reference	Value	IITCODE	Rev	NonMontare
______________________________________________						
						
1	2	CC2,CC3	100pF	6251		
2	40	C1,C2,C3,C4,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C25,C27,C28,C41,C44,C49,C50,C62,C66,C87,C91,C93,C94,C95,C96,C98,C100,C101,C102,C103,C105,C106	100nF	1035		
3	2	C6,C7	2.2uF	4036		
4	9	C8,C9,C24,C70,C88,C92,C97,C99,C104	10uF	479		
5	4	C26,C33,C48,C59	10pF	1271		
6	11	C29,C34,C38,C40,C42,C51,C52,C60,C61,C63,C64	100pF	1682		
7	4	C30,C35,C53,C54	22uF	5220		
8	4	C31,C32,C56,C57	100nF	5109		
9	2	C36,C58	220nF	5107		
10	2	C37,C55	10nF	5108		
11	1	C39	10pF	1714		
12	4	C43,C45,C65,C67	10nF	1348		
13	4	C46,C47,C68,C69	1nF	1237		
14	6	C71,C75,C77,C79,C83,C85	22nF	665		
15	4	C72,C73,C80,C81	1uF	1078		
16	2	C74,C82	100uF	1079		
17	1	C76	330pF	1684		
18	2	C78,C86	470nF	1041		
19	1	C84	470pF	658		
20	2	C89,C90	1nF	1077		
21	4	C108,C109,C110,C111	100pF	1036		
22	2	C112,C113	100nF	1681		
23	4	DL1,DL3,DL7,DL8	GREEN	1654		
24	1	DL2	YELLOW	1656		
25	2	DL4,DL6	ORANGE	1653		
26	1	DL5	BLUE	4230		
27	2	D1,D2	BAV99	1292		
28	1	D3	SS19L	565		
29	2	D4,D5	10MQ100N	1031		
30	1	D6	BAS16LD	5325		
31	8	FL1,FL2,FL3,FL9,FL11,FL15,FL16,FL17	600R @100MHz	1118		
32	1	FL4	375R @100MHz	5454		
33	1	FL5	330uH@100KHz	545		
34	3	FL6,FL7,FL8	600R @100MHz	1118		NM
35	2	FL10,FL14	600R @100MHz 4	1119		
36	3	H1,H2,H3	M2.5 Metallized hole	4268		NM
37	1	JP1	JUMPER-SM	4870		
38	1	L1	33uH	1122		
39	1	L2	47uH	1711		
40	1	P1	501591-3011	1126		
41	4	P2,P3,P4,P5	53261-1071	1072		
42	1	P6	53261-0471	288		
43	1	P7	87438-0543	5452		
44	2	P8,P9	53261-0671	1124		
45	2	P10,P11	53261-0771	631		
46	2	P12,P13	53261-0571	630		
47	2	RR4,RR5	2K2	1116		
48	5	R1,R42,R43,R69,R70	22K	1112		
49	6	R2,R5,R44,R45,R71,R72	33K	1113		
50	2	R3,R4	330K	3174		
51	12	R6,R36,R39,R63,R68,R93,R94,R109,R110,R119,R126,R127	10K	1109		
52	27	R7,R8,R9,R10,R11,R13,R14,R15,R17,R19,R46,R47,R73,R74,R75,R76,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138	4K7	1107		
53	8	R12,R16,R18,R82,R90,R91,R99,R112	220R	1087		
54	4	R20,R31,R48,R57	1K8	1104		
55	4	R21,R34,R49,R61	3K3	1581		
56	4	R22,R29,R50,R56	0R05	5453		
57	16	R23,R24,R25,R26,R28,R32,R33,R51,R52,R54,R55,R58,R59,R108,R141,R142	1K	1100		
58	3	R27,R53,R125	100R	1085		
59	8	R30,R37,R40,R41,R60,R64,R66,R67	4K7	1107		NM
60	4	R35,R38,R62,R65	100K	4001		
61	1	R77	68K	1114		
62	3	R78,R139,R140	2K2	1105		
63	1	R79	12K	1704		
64	2	R80,R87	18K	3578		
65	2	R81,R88	22K	808		
66	1	R83	1K3	1698		
67	1	R84	68K	1114		NM
68	1	R85	5K6	3468		
69	1	R86	12K	1704		NM
70	1	R89	1K8	267		
71	1	R92	120	1086		
72	8	R95,R96,R97,R98,R102,R103,R104,R105	49R9	1081		
73	11	R100,R101,R106,R107,R111,R113,R114,R115,R116,R117,R118	0R	1080		NM
74	1	R120	3K01	1106		
75	4	R121,R122,R123,R124	75R	1084		
76	2	R143,R144	0R	1080		
77	9	TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9	SMOX/060/B1 GOLD	3581		NM
78	1	U1	STM32F407IGH6	5111		
79	1	U2	AT24C1024B-TH25-B	4125		
80	4	U3,U5,U6,U8	LT1999-10	6802		
81	2	U4,U7	L6206Q	5106		
82	2	U9,U10	LM5575MH	1008		
83	1	U11	MAX3051	241		
84	4	U12,U13,U14,U15	SN74LVC2T45DCUT	1328		
85	1	U16	KSZ8893MBL	1004		
86	1	U17		5110		
87	1	U18	S23305-50.000-X	1226		
88	8	1,2,3,4,5,6,7,8	NODEK	4875		

