P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
1;6802;;4;U3 U5 U6 U8;MSOP8;AO;LT-1999-10;5V;;;;;;Current Sense Amplifier, -5/80V supply voltage, bidirectional, MSOP8, SMD;Linear Technology;LT1999IMS8-10#PBF;DIGI-KEY CORPORATION;LT1999IMS8-10#PBF-ND;Linear Technology;LT1999IMS8-10#PBF;FARNELL ITALIA S.R.L.;2009058;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
2;479;;9;C8 C9 C24 C70 C88 C92 C97 C99 C104;603;C;10uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 10uF, 6.3V, 20%, X5R, SMD, 0603;Avx;06036D106MAT2A;DIGI-KEY CORPORATION;478-5318-1-ND;Avx;06036D106MAT2A;FARNELL ITALIA S.R.L.;1833804;Avx;06036D106MAT2A;MOUSER ELECTRONICS;581-06036D106MAT2A;TDK;C1608X5R0J106MT;RS COMPONENTS S.P.A.;741-4434;;
3;658;;1;C84;603;C;470pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 470pF, 50V, 5%, C0G, SMD, 0603;Murata;GRM1885C1H471JA01D;DIGI-KEY CORPORATION;490-1443-2-ND;Murata;GRM1885C1H471JA01D;RS COMPONENTS S.P.A.;624-2389;Murata;GRM1885C1H471JA01D;FARNELL ITALIA S.R.L.;8819904;Murata;GRM1885C1H471JA01D;MOUSER ELECTRONICS;81-GRM39C471J50;;
4;665;;6;C71 C75 C77 C79 C83 C85;603;C;22nF;50V;5%;X7R;;;;Multilayer Ceramic Capacitor, 22nF, 50V, 5%, X7R, SMD, 0603;Avx;06035C223JAT2A;DIGI-KEY CORPORATION;478-3722-2-ND;Avx;06035C223JAT2A;FARNELL ITALIA S.R.L.;1835412;Avx;06035C223JAT2A;MOUSER ELECTRONICS;581-06035C223JAT2A;;;;;;
5;1035;;40;C1 C2 C3 C4 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C25 C27 C28 C41 C44 C49 C50 C62 C66 C87 C91 C93 C94 C95 C96 C98 C100 C101 C102 C103 C105 C106;402;C;100nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 16V, 10%, X7R, SMD, 0402;Yageo;C0402KRX7R7BB104;FARNELL ITALIA S.R.L.;9402047;Yageo;C0402KRX7R7BB104;RS COMPONENTS S.P.A.;616-9701;Kemet;C0402C104K4RAC-TU;FARNELL ITALIA S.R.L.;1288252;Kemet;C0402C104K4RAC-TU;MOUSER ELECTRONICS;80-C0402C104K4R;;
6;1036;;4;C108 C109 C110 C111;402;C;100pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 100pF, 50V, 5%, C0G, SMD, 0402;Yageo;CC0402JRNPO9BN101;FARNELL ITALIA S.R.L.;3019226;Yageo;CC0402JRNPO9BN101;RS COMPONENTS S.P.A.;435-1497;Yageo;CC0402JRNPO9BN101;MOUSER ELECTRONICS;603-CC402JRNPO9BN101;;;;;;
7;1041;;2;C78 C86;603;C;470nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 470nF, 16V, 10%, X7R, SMD, 0603;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644RL;Kemet;C0603C474K4RACTU;MOUSER ELECTRONICS;80-C0603C474K4R;Murata;GRM188R71C474KA88D;RS COMPONENTS S.P.A.;723-5626;;
8;1075;;4;C43 C45 C65 C67;402;C;10nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 10nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C103K5RACTU;FARNELL ITALIA S.R.L.;1650808;Kemet;C0402C103K5RACTU;FARNELL ITALIA S.R.L.;1414575RL;Kemet;C0402C103K5RACTU;MOUSER ELECTRONICS;80-C0402C103K5R;Kemet;C0402C103K5RAC7867;RS COMPONENTS S.P.A.;147-752;;
