[2020.10.16 16:22:01] [0000m.04s.452ms] [0] WELCOME
[2020.10.16 16:22:01] [0000m.04s.454ms] [1] iCDB Diagnostic ver.2.207, qgLvIY/Eg4ge+fhn3Vi3jQ, build:15449124 created 2019-12-19 14:24:55, sources stamp:qgLvIY/Eg4ge+fhn3Vi3jQ
[2020.10.16 16:22:01] [0000m.04s.454ms] [1] Restricted Copyright Siemens 2020. All Rights Reserved.
[2020.10.16 16:22:01] [0000m.04s.454ms] [1] Base flow version [VX.2.7]
[2020.10.16 16:22:01] [0000m.04s.454ms] [1] Install Id [2119024], Flow Id [PADS VX.2.7], Full Flow Name [PADS VX.2.7], Exact Access Date [2020/02/01]
[2020.10.16 16:22:01] [0000m.04s.455ms] [1] Machine [IITICUBLAP192]  IP [10.10.24.182,127.0.0.1,192.168.1.3,192.168.56.1]  User [SDussoni]  PID [60676]
[2020.10.16 16:22:01] [0000m.04s.455ms] [1] Operating system [Microsoft Windows 10 Business Edition, 64-bit (build 18362)]
[2020.10.16 16:22:01] [0000m.04s.455ms] [1] Current working dir [C:\Users\sdussoni\electronics\projects\boards\P2019_02_FTX2_FingertipTactileSensorRethink\pads\Rev_B\FTX2]
[2020.10.16 16:22:01] [0000m.04s.455ms] [1] PATH [C:\MentorGraphics\PADSVX.2.7\SDD_HOME\common\win32\bin;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\common\win32\lib;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\common\win64\lib;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\common\win32\jre\default\bin;C:\MentorGraphics\PADSVX.2.7\MGC_HOME.ixn\bin;C:\MentorGraphics\PADSVX.2.7\MGC_HOME.ixn\lib;C:\Windows;C:\cygwin64\bin;C:/robotology/vcpkg/installed/x64-windows/bin;C:/robotology/vcpkg/installed/x64-windows/debug/bin;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\Git LFS;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\TortoiseSVN\bin;C:\Program Files\MATLAB\R2020a\bin;C:\Program Files\MATLAB\R2019b\runtime\win64;C:\Program Files\MATLAB\R2019b\bin;C:\Program Files\CMake\bin;C:\Program Files\Git\cmd;C:\Program Files\PuTTY\;C:\Program Files (x86)\STMicroelectronics\STM32 ST-LINK Utility\ST-LINK Utility;C:\Windows\System32;C:\Windows;C:\Windows\System32\Wbem;C:\robotology\vcpkg\installed\x64-windows\debug\bin;C:\robotology\vcpkg\installed\x64-windows\bin;C:\Users\sdussoni\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\PADSVX.2.5\SDD_HOME\CAMCAD;C:/robotology/robotology-superbuild/build/install/bin;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\CAMCAD]
[2020.10.16 16:22:01] [0000m.04s.456ms] [1] SDD_HOME [C:\MentorGraphics\PADSVX.2.7\SDD_HOME] on file system [NTFS]
[2020.10.16 16:22:01] [0000m.04s.456ms] [1] SDD_PLATFORM [win32]
[2020.10.16 16:22:01] [0000m.04s.456ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\standard;]
[2020.10.16 16:22:01] [0000m.04s.456ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: Checking snapshot [1:DxD] integrity
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: SnapshotCheck: CDBImplBlock
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: SnapshotCheck: CDBImplComp
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: SnapshotCheck: DxDCompView (cached)
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: DxDCheck: LineDxD
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: DxDCheck: CircleDxD
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: DxDCheck: ArcDxD
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: DxDCheck: RectDxD
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: DxDCheck: TextDxD
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: SnapshotCheck: CDBImplGroup
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (regular)
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (regular)
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (cached)
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (cached)
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: Block: FT2_0
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2020.10.16 16:22:01] [0000m.04s.622ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2020.10.16 16:22:01] [0000m.04s.623ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2020.10.16 16:22:01] [0000m.04s.623ms] [2] Diagnostic: CesConfigCheck: CesPin
[2020.10.16 16:22:01] [0000m.04s.623ms] [2] Diagnostic: CesConfigCheck: CesFromTo
[2020.10.16 16:22:01] [0000m.04s.623ms] [2] Diagnostic: CesConfigCheck: CesPhysicalNet
