[2021.05.19 14:25:41] [0000m.01s.711ms] [0] WELCOME
[2021.05.19 14:25:41] [0000m.01s.712ms] [1] iCDB Diagnostic ver.2.208, 5rMF46BATRyLeSytL5vq7A, build:17854834 created 2021-01-15 09:25:22, sources stamp:5rMF46BATRyLeSytL5vq7A
[2021.05.19 14:25:41] [0000m.01s.712ms] [1] Copyright Siemens 2020\r\n\r\nTHIS WORK CONTAINS TRADE SECRET AND CONFIDENTIAL\r\nINFORMATION WHICH ARE THE PROPERTY OF MENTOR\r\nGRAPHICS CORPORATION OR ITS LICENSORS AND IS\r\nSUBJECT TO LICENSE TERMS.
[2021.05.19 14:25:41] [0000m.01s.712ms] [1] Base flow version [VX.2.8]
[2021.05.19 14:25:41] [0000m.01s.712ms] [1] Install Id [2255257], Flow Id [PADS VX.2.8], Full Flow Name [PADS VX.2.8], Exact Access Date [2020/10/01]
[2021.05.19 14:25:41] [0000m.01s.712ms] [1] UPDATE Install Info, Install Id [2296475], UPDATE Name [PADS VX.2.8 - Update 2]
[2021.05.19 14:25:41] [0000m.01s.713ms] [1] Machine [IITICUBWS055]  IP [10.240.11.15,127.0.0.1,192.168.56.1]  User [SDussoni]  PID [23660]
[2021.05.19 14:25:41] [0000m.01s.713ms] [1] Operating system [Microsoft Windows 10 Business Edition, 64-bit (build 17134)]
[2021.05.19 14:25:41] [0000m.01s.713ms] [1] Current working dir [D:\icub-tech-iit\electronics-boards\ftx2\pads\Rev_B\FTX2_RevB]
[2021.05.19 14:25:41] [0000m.01s.713ms] [1] PATH [C:\MentorGraphics\PADSVX.2.8\SDD_HOME\common\win32\bin;C:\MentorGraphics\PADSVX.2.8\SDD_HOME\common\win32\lib;C:\MentorGraphics\PADSVX.2.8\SDD_HOME\common\win64\lib;C:\MentorGraphics\PADSVX.2.8\SDD_HOME\common\win32\jre\default\bin;C:\MentorGraphics\PADSVX.2.8\MGC_HOME.ixn\bin;C:\MentorGraphics\PADSVX.2.8\MGC_HOME.ixn\lib;C:\Program Files\Microsoft MPI\Bin\;C:\MentorGraphics\Capital\jre\bin;C:\MentorGraphics\Capital\bin;C:\MentorGraphics\Capital\jreWin64\1.8.0_172\jre\bin\server;C:\MentorGraphics\Capital\jreWin64\1.8.0_172\jre\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\TortoiseSVN\bin;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\CMake\bin;C:\Program Files (x86)\Microsoft Visual Studio\2017\Community\MSBuild\15.0\Bin;C:\Program Files (x86)\YARP\bin;C:\Program Files (x86)\YARP\lib;C:\Program Files\Git\cmd;C:\Program Files\Git LFS;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\IVI Foundation\VISA\WinNT\Bin\;C:\Program Files\IVI Foundation\VISA\Win64\Bin\;C:\Program Files (x86)\National Instruments\Shared\LabVIEW CLI;C:\Program Files (x86)\IVI Foundation\VISA\WinNT\Bin;C:\Program Files (x86)\STMicroelectronics\STM32 ST-LINK Utility\ST-LINK Utility;C:\Program Files\MATLAB\R2021a\runtime\win64;C:\Program Files\MATLAB\R2021a\bin;C:\Users\SDussoni\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\PADSVX.2.4\SDD_HOME\CAMCAD;C:\Users\SDussoni\AppData\Local\GitHubDesktop\bin;C:\Program Files\robotology\ipopt-3.12.7\bin;C:\Program Files\robotology\sdl-1.2.15\lib;C:\Program Files\robotology\glut-3.7.6;C:\Program Files (x86)\robotology\ACE-6.5.0_v14_x86\bin;C:\Program Files (x86)\robotology\opencv-3.4.2-v14-x86\bin;C:\Program Files (x86)\robotology\Qt-5.11.1_v14_x86\bin;C:\Program Files (x86)\robotology\libjpeg-turbo-1.5.3_x86\bin;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\CAMCAD;C:\Users\SDussoni\.dotnet\tools;C:\robotology_SB\vcpkg\installed\x64-windows\bin;C:\robotology_SB\vcpkg\installed\x64-windows\debug\bin;C:\robotology_SB\gazebo\install\bin\gazebo-11\plugins;C:\robotology_SB\gazebo\install\bin;C:\robotology\robotology\bin;C:\robotology\robotology\lib\rtf;C:\robotology_SBD\vcpkg\installed\x64-windows\bin;C:\robotology_SBD\vcpkg\installed\x64-windows\debug\bin;C:\robotology_SBD\gazebo\install\bin\gazebo-11\plugins;C:\robotology_SBD\gazebo\install\bin;C:\MentorGraphics\PADSVX.2.8\SDD_HOME\CAMCAD]
[2021.05.19 14:25:41] [0000m.01s.713ms] [1] SDD_HOME [C:\MentorGraphics\PADSVX.2.8\SDD_HOME] on file system [NTFS]
[2021.05.19 14:25:41] [0000m.01s.713ms] [1] SDD_PLATFORM [win32]
[2021.05.19 14:25:41] [0000m.01s.713ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\PADSVX.2.8\SDD_HOME\standard;]
[2021.05.19 14:25:41] [0000m.01s.713ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: Checking snapshot [1:DxD] integrity
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: SnapshotCheck: CDBImplBlock
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: SnapshotCheck: CDBImplComp
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: SnapshotCheck: DxDCompView (cached)
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: DxDCheck: LineDxD
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: DxDCheck: CircleDxD
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: DxDCheck: ArcDxD
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: DxDCheck: RectDxD
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: DxDCheck: TextDxD
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: SnapshotCheck: CDBImplGroup
[2021.05.19 14:25:41] [0000m.01s.774ms] [1] Diagnostic: Warning: group claims owner but it does not exist in ICDB
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (regular)
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (regular)
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (cached)
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (cached)
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: Block: FT2_0
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2021.05.19 14:25:41] [0000m.01s.774ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPin
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesFromTo
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPhysicalNet
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPinPair
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesElectricalNet
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesDiffPair
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesComponent
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPartPin
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPartPinPair
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPart
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesDesign
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesLayerClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesSchemeClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesViaAssign
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesLayer
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesNetClass
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesVia
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2021.05.19 14:25:41] [0000m.01s.775ms] [2] Diagnostic: ConfigCheck: CDBImplComp
