[2023.07.07 17:22:16] [0000m.01s.606ms] [0] WELCOME
[2023.07.07 17:22:16] [0000m.01s.606ms] [1] iCDB Diagnostic ver.2.213, H4DnrBmP/DNfNsbuJLm7Hg, build:22184707 created 2023-02-14 20:00:49, sources stamp:H4DnrBmP/DNfNsbuJLm7Hg
[2023.07.07 17:22:16] [0000m.01s.606ms] [1] Unpublished work. Copyright 2023 Siemens\r\n\r\nThis material contains trade secrets or otherwise confidential\r\ninformation owned by Siemens Industry Software Inc.\r\nor its affiliates (collectively, 'SISW'), or its licensors.\r\nAccess to and use of this information is strictly limited\r\nas set forth in the Customer's applicable agreements with SISW.
[2023.07.07 17:22:16] [0000m.01s.607ms] [1] Base flow version [VX.2.13]
[2023.07.07 17:22:16] [0000m.01s.607ms] [1] Install Id [2572135], Flow Id [PADS VX.2.13], Full Flow Name [PADS VX.2.13], Exact Access Date [2023/02/01]
[2023.07.07 17:22:16] [0000m.01s.607ms] [1] Machine [IITICUBLAP168]  IP [10.240.11.13,127.0.0.1]  User [MBorgagni]  PID [22896]
[2023.07.07 17:22:16] [0000m.01s.608ms] [1] Operating system [Microsoft Windows 10 Enterprise Edition, 64-bit (build 18362)]
[2023.07.07 17:22:16] [0000m.01s.608ms] [1] Current working dir [C:\icub-tech\electronics-boards\ft2\pads\Rev_D\right\FT2R]
[2023.07.07 17:22:16] [0000m.01s.608ms] [1] PATH [C:\MentorGraphics\PADSVX.2.13\SDD_HOME\common3D\win32\lib;C:\MentorGraphics\PADSVX.2.13\SDD_HOME\common\win32\bin;C:\MentorGraphics\PADSVX.2.13\SDD_HOME\common\win32\lib;C:\MentorGraphics\PADSVX.2.13\SDD_HOME\common\win64\lib;C:\MentorGraphics\PADSVX.2.13\SDD_HOME\common\win32\jre\default\bin;C:\MentorGraphics\PADSVX.2.13\MGC_HOME.ixn\bin;C:\MentorGraphics\PADSVX.2.13\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\Git LFS;C:\Program Files\TortoiseSVN\bin;C:\Program Files\MATLAB\R2019b\runtime\win64;C:\Program Files\MATLAB\R2019b\bin;C:\Program Files\Git\cmd;C:\MentorGraphics\PADSVX.2.8\SDD_HOME\CAMCAD;C:\Program Files\dotnet\;C:\Program Files\TortoiseGit\bin;C:\Users\MBorgagni\AppData\Local\Programs\Python\Python37\Scripts\;C:\Users\MBorgagni\AppData\Local\Programs\Python\Python37\;C:\Users\MBorgagni\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\PADSVX.2.5\SDD_HOME\CAMCAD;C:\MentorGraphics\PADSVX.2.7\SDD_HOME\CAMCAD;C:\MentorGraphics\PADSVX.2.8\SDD_HOME\CAMCAD;C:\Users\MBorgagni\AppData\Local\Programs\Microsoft VS Code\bin;C:\MentorGraphics\PADSVX.2.13\SDD_HOME\CAMCAD]
[2023.07.07 17:22:16] [0000m.01s.608ms] [1] SDD_HOME [C:\MentorGraphics\PADSVX.2.13\SDD_HOME] on file system [NTFS]
[2023.07.07 17:22:16] [0000m.01s.608ms] [1] SDD_PLATFORM [win32]
[2023.07.07 17:22:16] [0000m.01s.608ms] [1] WDIR [C:\PADS Projects;\\iiticubstor01.iit.local\icub-tech\silo-electronics\pads\iCubWDIR;C:\MentorGraphics\PADSVX.2.13\SDD_HOME\standard;]
[2023.07.07 17:22:16] [0000m.01s.608ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2023.07.07 17:22:16] [0000m.01s.608ms] [1] Corporate iCDB working dir [\\iiticubstor01.iit.local\icub-tech\silo-electronics\pads\iCubWDIR\iCDB] on file system [NTFS]
[2023.07.07 17:22:16] [0000m.01s.747ms] [2] Diagnostic: Checking snapshot [1:DxD] integrity
[2023.07.07 17:22:16] [0000m.01s.747ms] [2] Diagnostic: SnapshotCheck: CDBImplBlock
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: SnapshotCheck: CDBImplComp
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: SnapshotCheck: DxDCompView (cached)
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: DxDCheck: LineDxD
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: DxDCheck: CircleDxD
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: DxDCheck: ArcDxD
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: DxDCheck: RectDxD
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: DxDCheck: TextDxD
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: SnapshotCheck: CDBImplGroup
[2023.07.07 17:22:16] [0000m.01s.748ms] [1] Diagnostic: Warning: group claims owner but it does not exist in ICDB
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (regular)
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (regular)
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (cached)
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (cached)
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: Block: FT2_0
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2023.07.07 17:22:16] [0000m.01s.748ms] [2] Diagnostic: CesConfigCheck: CesConstraint
