Part Lister output for UZCB
Generated on Wednesday, December 02, 2020
 |#    |QTY  |Part Number      |Description                                |Value |Ref Designator  |
----------------------------------------------------------------------------------------------------
 | 1   | 2   |CAP-0603-X7R-1UF |Multilayer Ceramic Capacitor, 1uF, 16V,    |1uF   |C1,C2           |
 |     |     |-16V-10TOL       | 10%, X7R, SMD, 0603                       |      |                |
 | 2   | 1   |CAP-0603-X7R-100 |Multilayer Ceramic Capacitor, 100nF, 100V, |100nF |C3              |
 |     |     |NF-100V-10TOL    | 10%, X7R, SMD, 0603                       |      |                |
 | 3   | 51  |CAP-0402-X7R-100 |Multilayer Ceramic Capacitor, 100nF, 16V,  |100nF |C4,C6-C51,C94,  |
 |     |     |NF-16V-10TOL     | 10%, X7R, SMD, 0402                       |      |C95,C124,C127   |
 | 4   | 15  |CAP-0805-X5R-10U |Multilayer Ceramic Capacitor, 10uF, 16V,   |10uF  |C5,C52,C96-C98, |
 |     |     |F-16V-10TOL      | 10%, X5R, SMD, 0805                       |      |C107,C108,C111, |
 |     |     |                 |                                           |      |C112,C125,C126, |
 |     |     |                 |                                           |      |C129-C132       |
 | 5   | 30  |CAP-0402-X5R-1UF |Multilayer Ceramic Capacitor, 1uF, 16V,    |1uF   |C53-C61,        |
 |     |     |-16V-10TOL       | 10%, X5R, SMD, 0402                       |      |C63-C79,        |
 |     |     |                 |                                           |      |C121-C123,C128  |
 | 6   | 1   |CAP-0402-X5R-1UF |                                           |      |C62             |
 |     |     |-16V-10TOL       |                                           |      |                |
 | 7   | 2   |CAP-0402-X7R-10N |Multilayer Ceramic Capacitor, 10nF, 50V,   |10nF  |C80,C81         |
 |     |     |F-50V-10TOL      | 10%, X7R, SMD, 0402                       |      |                |
 | 8   | 12  |CAP-0402-Y5V-100 |Multilayer Ceramic Capacitor, 100nF, 25V,  |100nF |C82-C93         |
 |     |     |NF-25V-10TOL     | 10%, Y5V, SMD, 0402                       |      |                |
 | 9   | 1   |CAP-0603-X7R-120 |Multilayer Ceramic Capacitor, 120nF, 50V,  |120nF |C99             |
 |     |     |NF-50V-10TOL     | 10%, X7R, SMD, 0603                       |      |                |
 | 10  | 2   |CAP-0402-C0G-12P |Multilayer Ceramic Capacitor, 12pF, 50V,   |12pF  |C100,C101       |
 |     |     |F-50V-5TOL       | 5%, C0G, SMD, 0402                        |      |                |
 | 11  | 1   |CAP-0402-X7R-6N8 |Multilayer Ceramic Capacitor, 6.8nF, 50V,  |6.8nF |C102            |
 |     |     |-50V-5TOL        | 5%, X7R, SMD, 0402                        |      |                |
 | 12  | 2   |CAP-0402-C0G-100 |Multilayer Ceramic Capacitor, 100pF, 50V,  |100pF |C103,C104       |
 |     |     |PF-50V-5TOL      | 5%, C0G, SMD, 0402                        |      |                |
 | 13  | 8   |CAP-0805-X7R-100 |Multilayer Ceramic Capacitor, 100nF, 50V,  |100nF |C105,C106,C109, |
 |     |     |NF-50V-10TOL     | 10%, X7R, SMD, 0805                       |      |C110,C113-C116  |
 | 14  | 1   |CAP-0402-C0G-33P |Multilayer Ceramic Capacitor, 33pF, 50V,   |33pF  |C117            |
 |     |     |F-50V-5TOL       | 5%, C0G, SMD, 0402                        |      |                |
 | 15  | 1   |CAP-0402-C0G-82P |Multilayer Ceramic Capacitor, 82pF, 50V,   |82pF  |C118            |
 |     |     |F-50V-5TOL       | 5%, C0G, SMD, 0402                        |      |                |
 | 16  | 2   |CAP-0402-X7R-220 |Multilayer Ceramic Capacitor, 220nF, 16V,  |220nF |C119,C120       |
 |     |     |NF-16V-10TOL     | 10%, X7R, SMD, 0402                       |      |                |
 | 17  | 3   |CAP-TANT-7343-47 |Tantalum Capacitor, 47uF, 35V, 10%, SMD,   |47uF  |C133-C135       |
 |     |     |UF-35V-10TOL     | 7343, h.4.1mm                             |      |                |
 | 18  | 1   |MBRS360T3G       |Diode schottky, Vrrm: 60V, If: 3A,         |MBRS3 |D1              |
 |     |     |                 | Ifms: 80A, SMD, DO214AB                   |60T3G |                |
 | 19  | 4   |DVIULC6-4SC6     |Diode ESD protection, Vbr: 6V, Vpp: 1.5kV, |DVIUL |D3-D6           |
 |     |     |                 | Irm: 0.5uA, SMD, SOT23-6                  |C6-4S |                |
 |     |     |                 |                                           |C6    |                |
 | 20  | 2   |SP3012-04HTG     |Diode ESD protection (x USB3), Vbr: 6V,    |SP301 |D8,D9           |
 |     |     |                 | Vpp: 12kV/air-25kV/cont, Irm: 1.5uA, SMD, |2-04H |                |
 |     |     |                 | SOT23-6                                   |TG    |                |
 | 21  | 1   |BAS16LD          |Diode high speed switching, Vrrm: 100V,    |BAS16 |D10             |
 |     |     |                 | If: 215mA, Ifms: 4A, SMD, SOD882D         |LD    |                |
 | 22  | 1   |LED-0402-GREEN-1 |Led diode, green, 1.9V, 1mA, 2.1mcd, SMD,  |SML-P |DL3             |
 |     |     |V9-2MCD1         | 0402                                      |11MTT |                |
 |     |     |                 |                                           |86R   |                |
 | 23  | 1   |LED-0402-RED-1V8 |Led diode, red, 1.8V, 1mA, 2.5mcd, SMD,    |SML-P |DL4             |
 |     |     |-2MCD5           | 0402                                      |11UTT |                |
 |     |     |                 |                                           |86R   |                |
 | 24  | 1   |LED-0402-ORANGE- |Led diode, orange, 1.9V, 1mA, 7.3mcd, SMD, |SML-P |DL5             |
 |     |     |1V9-7MCD3        | 0402                                      |11DTT |                |
 |     |     |                 |                                           |86R   |                |
 | 25  | 1   |LED-0603-GREEN-2 |Led diode, green, 2V, 20mA, 40mcd, SMD,    |SML-5 |DL6             |
 |     |     |V-40MCD          | 0603                                      |12MWT |                |
 |     |     |                 |                                           |86R   |                |
 | 26  | 1   |LED-0603-YELLOW- |Led diode, yellow, 2.5V, 30mA, 350mcd,     |OVS-0 |DL7             |
 |     |     |2V5-350mcd       | SMD, 0603                                 |606   |                |
 | 27  | 2   |FUSEPTC-1210-4A- |PTC resettable fuse, I trip 4A, I hold 2A, |4A    |F1,F2           |
 |     |     |2A               | SMD, 1210                                 |      |                |
 | 28  | 10  |FBEAD-0402-120RX |Ferrite bead, 500mA, 120R@100MHz, SMD,     |120R@ |FL1-FL6,FL9,    |
 |     |     |100MHZ-0A5       | 0402                                      |100MH |FL10,FL27,FL28  |
 |     |     |                 |                                           |z     |                |
 | 29  | 2   |FBEAD-0603-120RX |Ferrite bead, 3A, 120R @100MHz, SMD, 0603  |120R  |FL17,FL18       |
 |     |     |100MHZ-3A        |                                           |@100M |                |
 |     |     |                 |                                           |Hz    |                |
 | 30  | 6   |CM-CHOKE-1012-80 |Common mode choke, 80R, 100mA, 12.5Vdc,    |80R@1 |FL19-FL24       |
 |     |     |R-0A1-12VDC      | SMD, 1.25x1.0x0.3mm                       |00MHz |                |
 | 31  | 2   |CM-CHOKE-0805-18 |Common mode choke, 180R, 300mA, 50Vdc,     |180R@ |FL25,FL26       |
 |     |     |0R-0A3-50VDC     | SMD, 2x1.2mm                              |100MH |                |
 |     |     |                 |                                           |z     |                |
