6117 - BCB, Backpack Control Board with CAN/I2C/Bluetooth/Serial interface  Revised: Friday, August 23, 2013
Revision: A

Istituto Italiano di Tecnologia
Via Morego, 30
16163 - Genova



Bill Of Materials         August 23,2013      15:09:30	Page1

Item	Quantity	Reference	Value	IITCODE	Rev	NonMontare
______________________________________________

1	12	C1,C2,C3,C4,C8,C10,C11,	100nF	1035		
		C14,C16,C19,C30,C31
2	1	C5	4.7uF	1421		
3	1	C6	10nF	1348		
4	1	C7	1uF	1324		
5	1	C9	1nF	156		
6	5	C12,C13,C15,C17,C18	100nF	1035		NM
7	3	C20,C25,C27	22nF	665		
8	2	C21,C22	1uF	1078		
9	1	C23	100uF	1079		
10	2	C24,C28	470nF	1041		
11	1	C26	330pF	1684		
12	1	C29	33uF	6154		
13	1	DL1	RED	1652		
14	3	DL2,DL3,DL6	ORANGE	1653		
15	1	DL4	GREEN	1654		
16	1	DL5	BLUE	1655		
17	1	DL7	BLUE	4565		
18	1	D1	SMAJ58CA	5929		
19	1	D2	SS19L	565		
20	1	D3	BAT754C	5060		
21	1	FL1	330uH@100KHz	545		
22	1	J1	FTSH-105-01-L-DV	1295		
23	1	J2	35RASMT4BHNTRX	5280		
24	1	J3	MPT0.5/2-2.54	4500		
25	1	L1	33uH	1122		
26	2	MEC1,MEC2	SMTRAM25-6-5ET	6188		
27	2	PB1,PB2	5GSH9358222	6189		
28	1	PB3	KMR231G	634		
29	2	P1,P6	53261-0471	288		
30	3	P2,P7,P8	53261-0671	1124		
31	1	P3	6339191-1	6115		
32	1	P4	53398-1071	1394		
33	1	P5	53261-0571	630		
34	2	P9,P10	53261-0271	2980		
35	1	P11	53261-0771	631		
36	3	Q1,Q2,Q3	ZXMN2B14FH	4148		
37	2	R1,R4	100K	4001		
38	2	R2,R3	10K	1109		NM
39	4	R5,R6,R34,R35	10K	1109		
40	3	R7,R9,R12	100R	444		
41	3	R8,R11,R20	4K7	1107		
42	11	R10,R13,R14,R15,R25,R26,	220R	1087		
		R27,R30,R31,R32,R33
43	1	R16	47K	1274		
44	1	R17	0R	435		
45	1	R18	3K01	1106		
46	1	R19	68K	1114		
47	1	R21	12K	1704		
48	1	R22	12K	461		
49	1	R23	22K	808		
50	1	R24	1K5	1273		
51	1	R28	120R	256		
52	1	R29	100R	1418		
53	1	R36	0R	1080		NM
54	3	TP1,TP3,TP4	SMOX/060/B1 GOLD	3581		
55	1	TP2	S1751-46	504		
56	1	U1	STM32F103R8T6	6190		
57	1	U2	LM5575MH	1008		
58	1	U3	LM3940IMP-3.3	6282
59	1	U4	MAX3051	241		
60	1	U5	RN42	6191		
61	1	Y1	S23305-10.000-X	1278		
