6121 - BDC, Backpack DCDC Converters Board with CAN interface  Revised: Friday, May 29, 2015
Revision: C

Istituto Italiano di Tecnologia
Via Morego, 30
16163 - Genova



Bill Of Materials          May 29,2015      12:45:37	Page1

Item	Quantity	Reference	Value	IITCODE	Rev	NonMontare
______________________________________________

1	1	CT1	10nF	255		
2	13	C1,C2,C3,C7,C16,C19,C21,	100nF	1035		
		C22,C31,C39,C47,C55,C63
3	1	C4	4.7uF	1421		
4	1	C5	10nF	1348		
5	1	C6	1uF	1324		
6	3	C8,C9,C10	100nF	1035		NM
7	2	C11,C14	47uF	2917		
8	3	C12,C13,C15	100nF	5930		
9	4	C17,C24,C25,C57	1uF	1078		
10	1	C18	1uF	1078		NM
11	1	C20	1500pF	660		
12	3	C23,C27,C29	22nF	665		
13	1	C26	100uF	1079		
14	1	C28	330pF	1684		
15	1	C30	470nF	1041		
16	2	C32,C48	1uF	1293		
17	8	C33,C37,C40,C46,C49,C53,	100nF	3		
		C56,C62
18	2	C34,C50	470uF	6153		
19	2	C35,C51	47uF	1485		
20	2	C36,C52	1uF	724		
21	2	C38,C54	47nF	1572		NM
22	3	C41,C45,C61	47nF	667		
23	2	C42,C58	680pF	659		
24	1	C43	470pF	658		
25	1	C44	4.7pF	6533		
26	1	C59	100pF	482		
27	1	C60	47pF	654		
28	3	DL1,DL5,DL6	GREEN	1654		
29	1	DL2	RED	1652		
30	1	DL3	BLUE	1655		
31	2	DL4,DL7	ORANGE	1653		
32	1	D1	SMAJ58CA	5929		
33	1	D2	MMSZ4702T1G	5931		NM
34	1	D3	MBRS3100T3G	5932		
35	1	D4	SS19L	565		
36	1	FL1	330uH@100KHz	545		
37	1	JP1	JUMPER-SM_0	4870		
38	1	J1	FTSH-105-01-L-DV	1295		
39	4	J2,J3,J4,J5	MKDS 1/4-3.81	719		
40	1	L1	33uH	1122		
41	2	L2,L3	15uH	6155		
42	2	MEC1,MEC2	SMTSO-M25-3ET	6161		
43	3	P1,P2,P3	53261-0671	1124		
44	2	P4,P5	53261-0271	2980		
45	4	Q1,Q2,Q3,Q4	SQM120N10-3M8	10127		
46	2	Q5,Q6	IRFR4510PBF	6157		
47	1	RS1	0R003	5935		
48	2	RS2,RS3	0R010	6160		
49	2	R1,R4	100K	4001		
50	2	R2,R3	10K	1109		NM
51	1	R5	10K	1109		
52	3	R6,R8,R13	100R	444		
53	2	R7,R12	4K7	1107		
54	5	R9,R10,R11,R31,R62	220R	1087		
55	4	R14,R15,R16,R17	10R	436		
56	1	R18	150K	470		NM
57	2	R19,R25	0R	242		
58	1	R20	10R	436		NM
59	1	R21	6K8	1424		
60	1	R22	75K	10162		
61	1	R23	1K	751		
62	1	R24	47K	1274		
63	1	R26	3K01	1106		
64	1	R27	3K3	1414		
65	1	R28	22K	1411		
66	1	R29	68K	1114		
67	1	R30	2K2	1105		
68	1	R32	22K	808		
69	1	R33	12K	1704		
70	3	R34,R43,R56	18K	3578		
71	1	R35	1K3	1698		
72	2	R36,R49	220K	1571		
73	4	R37,R46,R51,R59	0R	435		
74	2	R38,R50	47K	465		NM
75	2	R39,R52	2K7	556		
76	3	R40,R41,R53	10K	1574		
77	1	R42	100K	809		
78	2	R44,R57	2K	613		
79	2	R45,R58	12K	461		
80	2	R47,R60	2K	285		
81	2	R48,R61	3K3	456		
82	1	R54	15K	462		
83	1	R55	220K	471		
84	1	R63	120R	256		
85	1	R64	100R	1418		
86	4	TP1,TP3,TP4,TP5	SMOX/060/B1 GOLD	3581		
87	1	TP2	S1751-46	504		
88	1	U1	STM32F103T8	6150		
89	1	U2	TPS2493PW	5936		
90	1	U3	LM5575MH	1008		
91	2	U4,U9	MBRB20H100CT	6162		
92	2	U5,U7	ACS711	6149		
93	2	U6,U8	LM5088	6158		
94	1	U10	MAX3051	241		
95	1	Y1	S23305-10.000-X	1278		
