************************************************************************************************
*                                                                                              *
* INSERTION LIST REPORT                                                                        *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:09 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    VALUE            FOOTPRINT                      XCOORD       YCOORD       ROTATION BOARDSIDE    
-----------------------------------------------------------------------------------------------------------
305                         FORO 3.2 MM                     892.52 m     2021.56 m   0        TOP                       
306                         FORO 3.2 MM                     1581.40 m    478.35 m    0        TOP                       
307                         FORO 3.2 MM                     3156.20 m    477.95 m    0        TOP                       
308                         FORO 3.2 MM                     3845.18 m    2021.56 m   0        TOP                       
500                         FIDUCIAL+PASTE                  112.00 m     1232.00 m   0        BOTTOM                    
501                         FIDUCIAL+PASTE                  216.00 m     2088.00 m   0        TOP                       
502                         FIDUCIAL+PASTE                  1728.00 m    2016.00 m   0        TOP                       
503                         FIDUCIAL+PASTE                  376.00 m     760.00 m    0        TOP                       
504                         FIDUCIAL+PASTE                  4472.00 m    2496.00 m   0        TOP                       
505                         FIDUCIAL+PASTE                  3952.00 m    808.00 m    0        TOP                       
506                         FIDUCIAL+PASTE                  2368.00 m    1344.00 m   0        TOP                       
507                         FIDUCIAL+PASTE                  768.00 m     2704.00 m   0        BOTTOM                    
508                         FIDUCIAL+PASTE                  3456.00 m    2888.00 m   0        BOTTOM                    
509                         FIDUCIAL+PASTE                  4488.00 m    1328.00 m   0        BOTTOM                    
510                         FIDUCIAL+PASTE                  1240.00 m    256.00 m    0        BOTTOM                    
C1         100NF            0402                            1448.00 m    1080.00 m   270      TOP                       
C2         2.2UF            0805                            1688.00 m    1736.00 m   0        TOP                       
C3         2.2UF            0805                            1080.00 m    1968.00 m   90       TOP                       
C4         100NF            0402                            448.00 m     1800.00 m   180      TOP                       
C5         10UF             0603                            896.00 m     1144.00 m   90       TOP                       
C6         10UF             0603                            1520.00 m    1072.00 m   270      TOP                       
C7         100NF            0402                            1672.00 m    1224.00 m   180      TOP                       
C8         100NF            0402                            1672.00 m    1256.00 m   180      TOP                       
C9         100NF            0402                            1704.00 m    1832.00 m   0        TOP                       
C10        100NF            0402                            960.00 m     1136.00 m   90       TOP                       
C11        100NF            0402                            1000.00 m    1888.00 m   0        TOP                       
C12        100NF            0402                            448.00 m     1832.00 m   180      TOP                       
C13        100NF            0402                            862.00 m     1272.00 m   0        TOP                       
C14        100NF            0402                            862.00 m     1238.00 m   0        TOP                       
C15        100NF            0402                            992.00 m     1136.00 m   90       TOP                       
C16        100NF            0402                            1480.00 m    1080.00 m   270      TOP                       
C17        100NF            0402                            1672.00 m    1192.00 m   180      TOP                       
C18        100NF            0402                            1704.00 m    1864.00 m   0        TOP                       
C19        100NF            0402                            776.00 m     736.00 m    0        TOP                       
C20        100NF            0402                            1184.00 m    1960.00 m   90       TOP                       
C21        10UF             0603                            1080.00 m    2088.00 m   180      TOP                       
C22        100NF            0402                            1080.00 m    2128.00 m   180      TOP                       
C23        100NF            0402                            2232.00 m    1432.00 m   90       TOP                       
C24        100NF            0402                            2384.00 m    1544.00 m   180      TOP                       
C25        100NF            0402                            3534.00 m    2776.00 m   0        TOP                       
C26        100NF            0402                            1190.00 m    504.00 m    90       TOP                       
C27        100NF            0402                            1240.00 m    504.00 m    90       TOP                       
C28        100NF            0402                            1344.00 m    1472.00 m   180      BOTTOM                    
C29        100NF            0402                            1344.00 m    1504.00 m   180      BOTTOM                    
C30        100NF            0402                            456.00 m     920.00 m    0        BOTTOM                    
C31        100PF            0402                            456.00 m     440.00 m    180      BOTTOM                    
C32        220PF            0402                            552.00 m     728.00 m    270      BOTTOM                    
C33        220PF            0402                            352.00 m     720.00 m    270      BOTTOM                    
C34        100NF            0402                            1272.00 m    2240.00 m   270      TOP                       
C35        100NF            0402                            672.00 m     2792.00 m   0        TOP                       
C36        100NF            0402                            1232.00 m    2376.00 m   180      TOP                       
C37        100NF            0402                            1272.00 m    2496.00 m   180      TOP                       
C38        100NF            0805                            3192.00 m    1232.00 m   0        TOP                       
C39        47UF             CE SMD DIAM 10_LOGEL            3904.00 m    2432.00 m   180      TOP                       
C40        100NF            0805                            4048.00 m    2152.00 m   0        TOP                       
C41        47UF             CE SMD DIAM 10_LOGEL            1504.00 m    2416.00 m   180      TOP                       
C42        100NF            0805                            4208.00 m    2144.00 m   0        TOP                       
C43        100NF            0402                            4120.00 m    1768.00 m   270      TOP                       
C44        1UF              1210                            4256.00 m    1840.00 m   0        TOP                       
C45        1UF              1210                            4256.00 m    1696.00 m   0        TOP                       
C46        10NF             0402                            4088.00 m    1768.00 m   270      TOP                       
