************************************************************************************************
*                                                                                              *
* UNROUTE REPORT                                                                               *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:15 2015                                                                     *
*                                                                                              *
************************************************************************************************

NETNAME  XCOORD       YCOORD       XCOORD       YCOORD       
-------------------------------------------------------------
VCC       1520.00 m    1096.60 m    1520.00 m    1096.00 m                                                              
VCC       1520.00 m    1096.00 m    1480.00 m    1099.70 m                                                              
VIN       1502.00 m    1558.00 m    1568.00 m    936.00 m                                                               
V48MOTOR  468.96 m     1357.10 m    410.90 m     1357.10 m                                                              
V48MOTOR  410.90 m     1357.10 m    2144.00 m    2120.00 m                                                              
GND       765.09 m     1318.92 m    648.00 m     960.00 m                                                               
V48MOTOR  3080.00 m    1776.00 m    3600.00 m    2156.00 m                                                              
GND       544.00 m     272.00 m     864.00 m     384.00 m                                                               
GND       864.00 m     384.00 m     1072.00 m    568.00 m                                                               
V48MOTOR  2952.00 m    1864.00 m    3080.00 m    1776.00 m                                                              
V48MOTOR  4298.00 m    2650.00 m    4224.00 m    1318.00 m                                                              
V48MOTOR  4136.00 m    2056.00 m    4298.00 m    2650.00 m                                                              
GND       536.00 m     416.00 m     544.00 m     272.00 m                                                               
GND       441.58 m     872.00 m     592.00 m     736.00 m                                                               
V48MOTOR  464.00 m     2968.00 m    296.00 m     2144.00 m                                                              
GND       592.00 m     736.00 m     536.00 m     576.00 m                                                               
V48MOTOR  552.61 m     1273.45 m    1568.00 m    2368.00 m                                                              
V48MOTOR  3788.00 m    1796.00 m    4136.00 m    2056.00 m                                                              
V48MOTOR  3600.00 m    2156.00 m    3788.00 m    1796.00 m                                                              
GND       856.00 m     712.00 m     1072.00 m    568.00 m                                                               
GND       536.00 m     576.00 m     536.00 m     416.00 m                                                               
V48MOTOR  2584.00 m    1864.00 m    2952.00 m    1864.00 m                                                              
GND       648.00 m     960.00 m     424.00 m     960.00 m                                                               
GND       488.00 m     1560.00 m    424.00 m     1560.00 m                                                              
GND       424.00 m     1560.00 m    456.00 m     1910.00 m                                                              
GND       4000.00 m    2576.00 m    4192.00 m    2376.00 m                                                              
GND       4565.95 m    2634.05 m    4192.00 m    2376.00 m                                                              
V48MOTOR  3568.00 m    844.00 m     4140.00 m    1234.00 m                                                              
V48MOTOR  2144.00 m    2120.00 m    2584.00 m    1864.00 m                                                              
V48MOTOR  1568.00 m    2368.00 m    1640.00 m    2760.00 m                                                              
V48MOTOR  468.96 m     1357.10 m    410.90 m     1357.10 m                                                              
V48MOTOR  410.90 m     1357.10 m    344.00 m     2096.00 m                                                              
GND       1970.00 m    2754.00 m    1547.70 m    2744.00 m                                                              
GND       2345.03 m    2394.50 m    2142.00 m    2210.00 m                                                              
GND       2269.00 m    288.00 m     2344.00 m    456.00 m                                                               
GND       2498.00 m    1772.00 m    2320.00 m    1528.00 m                                                              
GND       2892.93 m    1755.07 m    2498.00 m    1772.00 m                                                              
GND       3227.00 m    1232.00 m    3096.00 m    1608.00 m                                                              
GND       2475.00 m    288.00 m     2384.00 m    456.00 m                                                               
GND       4004.00 m    546.00 m     4085.00 m    232.00 m                                                               
GND       4056.00 m    936.00 m     4032.00 m    1088.00 m                                                              
GND       3512.00 m    520.00 m     3543.40 m    328.00 m                                                               
GND       3360.00 m    496.00 m     3512.00 m    520.00 m                                                               
GND       3360.57 m    560.57 m     3360.00 m    496.00 m                                                               
GND       4002.03 m    854.27 m     4056.00 m    936.00 m                                                               
GND       3512.00 m    552.00 m     3512.00 m    520.00 m                                                               
GND       3584.00 m    736.00 m     3512.00 m    552.00 m                                                               
GND       4012.00 m    1362.00 m    3928.00 m    1248.00 m                                                              
GND       3928.00 m    1248.00 m    3848.00 m    1248.00 m                                                              
GND       4096.00 m    1448.00 m    4012.00 m    1362.00 m                                                              
GND       1824.00 m    1408.00 m    1752.00 m    1232.00 m                                                              
GND       1408.00 m    2104.00 m    1400.00 m    2096.00 m                                                              
GND       1400.00 m    2096.00 m    1715.70 m    1864.00 m                                                              
GND       1352.00 m    584.00 m     1371.70 m    712.00 m                                                               
GND       1182.00 m    580.00 m     1287.75 m    463.75 m                                                               
GND       1287.75 m    463.75 m     1352.00 m    584.00 m                                                               
GND       1208.00 m    2720.00 m    1547.70 m    2744.00 m                                                              
GND       1208.00 m    2784.00 m    1208.00 m    2720.00 m                                                              
GND       1926.00 m    1282.00 m    1824.00 m    1408.00 m                                                              
GND       1928.00 m    1064.00 m    1926.00 m    1282.00 m                                                              
GND       1272.00 m    2904.00 m    1208.00 m    2784.00 m                                                              
GND       1200.00 m    2656.00 m    1208.00 m    2720.00 m                                                              
GND       1936.00 m    1608.00 m    1776.00 m    1760.00 m                                                              
GND       1496.00 m    976.00 m     1447.50 m    808.00 m                                                               
GND       1072.00 m    568.00 m     1182.00 m    580.00 m                                                               
GND       984.00 m     456.00 m     864.00 m     384.00 m                                                               
GND       2152.00 m    1728.00 m    1936.00 m    1608.00 m                                                              
GND       1608.00 m    1032.00 m    1496.00 m    976.00 m                                                               
GND       4004.00 m    546.00 m     3924.00 m    640.00 m                                                               
GND       4527.63 m    1199.63 m    4344.00 m    960.00 m                                                               
GND       1280.00 m    2698.00 m    1208.00 m    2720.00 m                                                              
GND       1344.00 m    2680.00 m    1280.00 m    2698.00 m                                                              
GND       3930.03 m    446.27 m     4004.00 m    546.00 m                                                               
GND       170.70 m     2748.45 m    210.51 m     2533.65 m                                                              
GND       1408.00 m    2104.00 m    1400.00 m    2096.00 m                                                              
GND       1400.00 m    2096.00 m    1272.00 m    2220.30 m                                                              
GND       1448.00 m    2696.00 m    1344.00 m    2680.00 m                                                              
GND       3940.30 m    2752.00 m    4138.00 m    2878.00 m                                                              
GND       4192.00 m    2376.00 m    4296.00 m    2224.00 m                                                              
GND       2410.00 m    1098.00 m    2624.00 m    1216.00 m                                                              
GND       2628.00 m    1312.00 m    2456.00 m    1400.00 m                                                              
GND       2236.00 m    1488.00 m    2320.00 m    1528.00 m                                                              
GND       2134.00 m    1608.00 m    2152.00 m    1728.00 m                                                              
GND       2456.00 m    1400.00 m    2320.00 m    1528.00 m                                                              
GND       728.00 m     2716.30 m    738.00 m     2496.00 m                                                              
GND       2320.00 m    1528.00 m    2134.00 m    1608.00 m                                                              
GND       3628.30 m    920.00 m     3628.30 m    808.00 m                                                               
GND       584.00 m     2312.00 m    893.53 m     2240.00 m                                                              
GND       3171.70 m    1736.00 m    3208.00 m    1680.00 m                                                              
GND       3512.00 m    1640.00 m    3476.30 m    1872.00 m                                                              
GND       3106.00 m    1830.00 m    3208.00 m    1680.00 m                                                              
GND       3208.00 m    1680.00 m    3096.00 m    1648.00 m                                                              
GND       2924.00 m    1598.00 m    2892.93 m    1755.07 m                                                              
GND       3096.00 m    1608.00 m    3096.00 m    1648.00 m                                                              
GND       3096.00 m    1648.00 m    2924.00 m    1598.00 m                                                              
GND       3476.30 m    1872.00 m    3616.00 m    2016.00 m                                                              
GND       3616.00 m    2016.00 m    3888.00 m    1872.00 m                                                              
GND       3888.00 m    1872.00 m    4091.70 m    1872.00 m                                                              
GND       1184.00 m    2051.70 m    1336.00 m    2136.00 m                                                              
GND       4504.00 m    2104.00 m    4296.00 m    2224.00 m                                                              
GND       4115.70 m    1712.00 m    4232.00 m    1576.00 m                                                              
VIN       4074.00 m    1672.00 m    3640.00 m    1160.00 m                                                              
VIN       3789.00 m    640.00 m     3704.00 m    808.00 m                                                               
VIN       3368.00 m    1612.00 m    3368.00 m    1264.00 m                                                              
VIN       3086.00 m    2144.00 m    3062.00 m    2168.00 m                                                              
VIN       3062.00 m    2168.00 m    3368.00 m    1612.00 m                                                              
VIN       1600.00 m    1872.00 m    1502.00 m    1558.00 m                                                              
VIN       3616.00 m    608.00 m     3643.50 m    608.00 m                                                               
VIN       3643.50 m    608.00 m     3400.00 m    496.00 m                                                               
VIN       3400.00 m    496.00 m     3320.00 m    496.00 m                                                               
VIN       3320.00 m    496.00 m     3216.00 m    640.00 m                                                               
VIN       3096.00 m    1192.00 m    3368.00 m    1264.00 m                                                              
