************************************************************************************************
*                                                                                              *
* CROSS REFERENCE NET LIST REPORT                                                              *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:16 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    XCOORD       YCOORD       NET NAMES                                
------------------------------------------------------------------------------
305.1       892.52 m     2021.56 m   << unused >>                                                                       
                                                                                                                        
306.1       1581.40 m    478.35 m    << unused >>                                                                       
                                                                                                                        
307.1       3156.20 m    477.95 m    << unused >>                                                                       
                                                                                                                        
308.1       3845.18 m    2021.56 m   << unused >>                                                                       
                                                                                                                        
500.1       112.00 m     1232.00 m   << unused >>                                                                       
                                                                                                                        
501.1       216.00 m     2088.00 m   << unused >>                                                                       
                                                                                                                        
502.1       1728.00 m    2016.00 m   << unused >>                                                                       
                                                                                                                        
503.1       376.00 m     760.00 m    << unused >>                                                                       
                                                                                                                        
504.1       4472.00 m    2496.00 m   << unused >>                                                                       
                                                                                                                        
505.1       3952.00 m    808.00 m    << unused >>                                                                       
                                                                                                                        
506.1       2368.00 m    1344.00 m   << unused >>                                                                       
                                                                                                                        
507.1       768.00 m     2704.00 m   << unused >>                                                                       
                                                                                                                        
508.1       3456.00 m    2888.00 m   << unused >>                                                                       
                                                                                                                        
509.1       4488.00 m    1328.00 m   << unused >>                                                                       
                                                                                                                        
510.1       1240.00 m    256.00 m    << unused >>                                                                       
                                                                                                                        
C1.1        1448.00 m    1099.70 m   VCC                                                                                
C1.2        1448.00 m    1060.30 m   DGND                                                                               
                                                                                                                        
C2.1        1653.00 m    1736.00 m   N17360230                                                                          
C2.2        1723.00 m    1736.00 m   DGND                                                                               
                                                                                                                        
C3.1        1080.00 m    1933.00 m   N17360226                                                                          
C3.2        1080.00 m    2003.00 m   DGND                                                                               
                                                                                                                        
C4.1        467.70 m     1800.00 m   VCC                                                                                
C4.2        428.30 m     1800.00 m   DGND                                                                               
                                                                                                                        
C5.1        896.00 m     1119.40 m   VCC                                                                                
C5.2        896.00 m     1168.60 m   DGND                                                                               
                                                                                                                        
C6.1        1520.00 m    1096.60 m   VCC                                                                                
C6.2        1520.00 m    1047.40 m   DGND                                                                               
                                                                                                                        
C7.1        1691.70 m    1224.00 m   VCC                                                                                
C7.2        1652.30 m    1224.00 m   DGND                                                                               
                                                                                                                        
C8.1        1691.70 m    1256.00 m   VCC                                                                                
C8.2        1652.30 m    1256.00 m   DGND                                                                               
                                                                                                                        
C9.1        1684.30 m    1832.00 m   VCC                                                                                
C9.2        1723.70 m    1832.00 m   DGND                                                                               
                                                                                                                        
C10.1       960.00 m     1116.30 m   VCC                                                                                
C10.2       960.00 m     1155.70 m   DGND                                                                               
                                                                                                                        
C11.1       980.30 m     1888.00 m   VCC                                                                                
C11.2       1019.70 m    1888.00 m   DGND                                                                               
                                                                                                                        
C12.1       467.70 m     1832.00 m   VCC                                                                                
C12.2       428.30 m     1832.00 m   DGND                                                                               
                                                                                                                        
C13.1       842.30 m     1272.00 m   VCC                                                                                
C13.2       881.70 m     1272.00 m   DGND                                                                               
                                                                                                                        
C14.1       842.30 m     1238.00 m   VCC                                                                                
C14.2       881.70 m     1238.00 m   DGND                                                                               
                                                                                                                        
C15.1       992.00 m     1116.30 m   VCC                                                                                
C15.2       992.00 m     1155.70 m   DGND                                                                               
                                                                                                                        
C16.1       1480.00 m    1099.70 m   VCC                                                                                
C16.2       1480.00 m    1060.30 m   DGND                                                                               
                                                                                                                        
C17.1       1691.70 m    1192.00 m   VCC                                                                                
C17.2       1652.30 m    1192.00 m   DGND                                                                               
                                                                                                                        
C18.1       1684.30 m    1864.00 m   VCC                                                                                
C18.2       1723.70 m    1864.00 m   DGND                                                                               
                                                                                                                        
C19.1       756.30 m     736.00 m    VCC                                                                                
C19.2       795.70 m     736.00 m    DGND                                                                               
                                                                                                                        
C20.1       1184.00 m    1940.30 m   VCC                                                                                
C20.2       1184.00 m    1979.70 m   DGND                                                                               
                                                                                                                        
C21.1       1104.60 m    2088.00 m   3V3                                                                                
C21.2       1055.40 m    2088.00 m   GND                                                                                
                                                                                                                        
C22.1       1099.70 m    2128.00 m   3V3                                                                                
C22.2       1060.30 m    2128.00 m   GND                                                                                
                                                                                                                        
C23.1       2232.00 m    1412.30 m   CPU                                                                                
C23.2       2232.00 m    1451.70 m   GND                                                                                
                                                                                                                        
C24.1       2403.70 m    1544.00 m   MOTORS                                                                             
C24.2       2364.30 m    1544.00 m   GND                                                                                
                                                                                                                        
C25.1       3514.30 m    2776.00 m   FAULT_ICUB                                                                         
C25.2       3553.70 m    2776.00 m   GND                                                                                
                                                                                                                        
C26.1       1190.00 m    484.30 m    JACK                                                                               
C26.2       1190.00 m    523.70 m    GND                                                                                
                                                                                                                        
C27.1       1240.00 m    484.30 m    FAULT_GPIO                                                                         
C27.2       1240.00 m    523.70 m    GND                                                                                
                                                                                                                        
C28.1       1324.30 m    1472.00 m   GPIO1                                                                              
C28.2       1363.70 m    1472.00 m   GND                                                                                
                                                                                                                        
C29.1       1324.30 m    1504.00 m   GPIO2                                                                              
C29.2       1363.70 m    1504.00 m   GND                                                                                
                                                                                                                        
C30.1       475.70 m     920.00 m    3V3                                                                                
C30.2       436.30 m     920.00 m    GND                                                                                
                                                                                                                        
C31.1       436.30 m     440.00 m    N16984428                                                                          
C31.2       475.70 m     440.00 m    N16984422                                                                          
                                                                                                                        
C32.1       552.00 m     708.30 m    CANL                                                                               
C32.2       552.00 m     747.70 m    GND                                                                                
                                                                                                                        
C33.1       352.00 m     700.30 m    CANH                                                                               
C33.2       352.00 m     739.70 m    GND                                                                                
                                                                                                                        
C34.1       1272.00 m    2259.70 m   I2C2_SMBAL                                                                         
C34.2       1272.00 m    2220.30 m   GND                                                                                
                                                                                                                        
C35.1       652.30 m     2792.00 m   3V3                                                                                
C35.2       691.70 m     2792.00 m   GND                                                                                
                                                                                                                        
C36.1       1251.70 m    2376.00 m   I2C2_SCL                                                                           
C36.2       1212.30 m    2376.00 m   GND                                                                                
                                                                                                                        
C37.1       1291.70 m    2496.00 m   I2C2_SDA                                                                           
C37.2       1252.30 m    2496.00 m   GND                                                                                
                                                                                                                        
C38.1       3157.00 m    1232.00 m   VIN                                                                                
C38.2       3227.00 m    1232.00 m   GND                                                                                
                                                                                                                        
C39.1       3904.00 m    2258.93 m   VIN                                                                                
C39.2       3904.00 m    2605.07 m   GND                                                                                
                                                                                                                        
C40.1       4013.00 m    2152.00 m   VIN                                                                                
C40.2       4083.00 m    2152.00 m   GND                                                                                
                                                                                                                        
C41.1       1504.00 m    2242.93 m   V48MOTOR                                                                           
C41.2       1504.00 m    2589.07 m   GND                                                                                
                                                                                                                        
C42.1       4173.00 m    2144.00 m   V48MOTOR                                                                           
C42.2       4243.00 m    2144.00 m   GND                                                                                
                                                                                                                        
C43.1       4120.00 m    1787.70 m   HSM_EN                                                                             
C43.2       4120.00 m    1748.30 m   GND                                                                                
                                                                                                                        
C44.1       4188.00 m    1840.00 m   N17009832                                                                          
C44.2       4323.00 m    1840.00 m   GND                                                                                
                                                                                                                        
C45.1       4188.00 m    1696.00 m   N17009832                                                                          
C45.2       4323.00 m    1696.00 m   GND                                                                                
                                                                                                                        
C46.1       4088.00 m    1787.70 m   N17009805                                                                          
C46.2       4088.00 m    1748.30 m   GND                                                                                
                                                                                                                        
C47.1       1819.70 m    1232.00 m   HSM_CURRENT                                                                        
C47.2       1780.30 m    1232.00 m   GND                                                                                
                                                                                                                        
C48.1       2076.30 m    1736.00 m   HSM_NPG                                                                            
C48.2       2115.70 m    1736.00 m   GND                                                                                
                                                                                                                        
C49.1       2204.30 m    1712.00 m   HSM_NFLT                                                                           
C49.2       2243.70 m    1712.00 m   GND                                                                                
                                                                                                                        
C50.1       3996.30 m    704.00 m    N17211468                                                                          
C50.2       4035.70 m    704.00 m    N17211568                                                                          
                                                                                                                        
C51.1       3788.50 m    1040.00 m   VIN                                                                                
C51.2       3923.50 m    1040.00 m   GND                                                                                
                                                                                                                        
C52.1       3675.50 m    1040.00 m   VIN                                                                                
C52.2       3540.50 m    1040.00 m   GND                                                                                
                                                                                                                        
C53.1       4283.50 m    1064.00 m   V5                                                                                 
C53.2       4148.50 m    1064.00 m   GND                                                                                
                                                                                                                        
C54.1       3667.70 m    808.00 m    V5_EN                                                                              
C54.2       3628.30 m    808.00 m    GND                                                                                
                                                                                                                        
C55.1       3667.70 m    952.00 m    N17211809                                                                          
C55.2       3628.30 m    952.00 m    GND                                                                                
                                                                                                                        
C56.1       4020.30 m    968.00 m    N17211576                                                                          
C56.2       4059.70 m    968.00 m    GND                                                                                
                                                                                                                        
C57.1       3672.60 m    736.00 m    N17211805                                                                          
C57.2       3623.40 m    736.00 m    GND                                                                                
                                                                                                                        
C58.1       3667.70 m    840.00 m    N17211604                                                                          
C58.2       3628.30 m    840.00 m    N17211616                                                                          
                                                                                                                        
C59.1       4000.00 m    332.30 m    N17212799                                                                          
C59.2       4000.00 m    371.70 m    N17212811                                                                          
                                                                                                                        
C60.1       3789.00 m    640.00 m    VIN                                                                                
C60.2       3924.00 m    640.00 m    GND                                                                                
                                                                                                                        
C61.1       3675.50 m    640.00 m    VIN                                                                                
C61.2       3540.50 m    640.00 m    GND                                                                                
                                                                                                                        
C62.1       4220.00 m    232.00 m    3V3                                                                                
C62.2       4085.00 m    232.00 m    GND                                                                                
                                                                                                                        
C63.1       3587.70 m    456.00 m    N17212815                                                                          
C63.2       3548.30 m    456.00 m    N17212907                                                                          
                                                                                                                        
C64.1       3587.70 m    552.00 m    N17212855                                                                          
C64.2       3548.30 m    552.00 m    GND                                                                                
                                                                                                                        
C65.1       4044.30 m    560.00 m    N17212827                                                                          
C65.2       4083.70 m    560.00 m    GND                                                                                
                                                                                                                        
