P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;3;;5,00;C108 C91 C90 C89 C88;0603;C;100nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 50V, 10%, X7R, SMD, 0603;Kemet;C0603C104K5RAC7867;SILVERSTAR S.R.L.;KETC0603C104K5RAC7867;Kemet;C0603C104K5RACTU;DIGI-KEY CORPORATION;399-5089-2-ND;Kemet;C0603C104K5RACTU;FARNELL ITALIA S.R.L.;1288255;Murata;GRM188R71H104KA93D;RS COMPONENTS S.P.A.;624-2480;
2;721;;1,00;C98;CAP-POL-CASEF;C;220uF;25V;20%;Aluminium;80mR;850mA @100kHz;105C;Electrolithic Capacitor, 220uF, 25V, 20%, SMD;Panasonic;EEEFP1E221AP;FARNELL ITALIA S.R.L.;1539491;Panasonic;EEEFP1E221AP;RS COMPONENTS S.P.A.;568-521;Panasonic;EEEFP1E221AP;MOUSER ELECTRONICS;667-EEE-FP1E221AP;
3;724;;2,00;C93 C92;0805;C;1uF;25V;20%;X7R;;;;Multilayer Ceramic Capacitor, 1uF, 25V, 10%, X7R, SMD, 0805;Kemet;C0805C105K3RAC7800;FARNELL ITALIA S.R.L.;1637035;Kemet;C0805C105K3RAC7800;FARNELL ITALIA S.R.L.;1637035RL;Kemet;C0805C105K3RAC7800;RS COMPONENTS S.P.A.;691-1167;Kemet;C0805C105K3RAC7800;MOUSER ELECTRONICS;80-C0805C105K3R;
4;1035;;31,00;C33 C32 C31 C30 C29 C28 C26 C27 C25 C24 C23 C22 C20 C21 C19 C18 C17 C16 C14 C15 C13 C12 C11 C10 C8 C9 C7 C6 C5 C3 C4;0402;C;100nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 16V, 10%, X7R, SMD, 0402;Yageo;C0402KRX7R7BB104;FARNELL ITALIA S.R.L.;9402047;Yageo;C0402KRX7R7BB104;RS COMPONENTS S.P.A.;616-9701;Kemet;C0402C104K4RAC-TU;FARNELL ITALIA S.R.L.;1650809;Kemet;C0402C104K4RAC-TU;MOUSER ELECTRONICS;80-C0402C104K4R;
5;1036;;6,00;C45 C46 C44 C43 C42 C41;0402;C;100pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 100pF, 50V, 5%, C0G, SMD, 0402;Yageo;CC0402JRNPO9BN101;FARNELL ITALIA S.R.L.;3019226;Yageo;CC0402JRNPO9BN101;RS COMPONENTS S.P.A.;435-1497;Yageo;CC0402JRNPO9BN101;MOUSER ELECTRONICS;603-CC402JRNPO9BN101;
6;1037;;2,00;C48 C47;0402;C;220pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 220pF, 50V, 5%, C0G, SMD, 0402;Yageo;CC0402JRNPO9BN221;FARNELL ITALIA S.R.L.;3019240;Yageo;CC0402JRNPO9BN221;RS COMPONENTS S.P.A.;616-9284;Yageo;CC0402JRNPO9BN221;MOUSER ELECTRONICS;603-CC402JRNPO9BN221;
7;1040;;6,00;C74 C73 C72 C71 C69 C70;0402;C;22nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 22nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C223K5RACTU;FARNELL ITALIA S.R.L.;1414583;Kemet;C0402C223K5RACTU;MOUSER ELECTRONICS;80-C0402C223K5R;Murata;GRM155R71H223KA12D;RS COMPONENTS S.P.A.;723-5297;
8;1041;;2,00;C75 C76;0603;C;470nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 470nF, 16V, 10%, X7R, SMD, 0603;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644RL;Kemet;C0603C474K4RACTU;MOUSER ELECTRONICS;80-C0603C474K4R;Murata;GRM188R71C474KA88D;RS COMPONENTS S.P.A.;723-5626;
9;1075;;2,00;C107 C66;0402;C;10nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 10nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C103K5RAC-TU;FARNELL ITALIA S.R.L.;1650808;Kemet;C0402C103K5RAC-TU;FARNELL ITALIA S.R.L.;1414575RL;Kemet;C0402C103K5RAC-TU;MOUSER ELECTRONICS;80-C0402C103K5R;Kemet;C0402C103K5RAC7867;RS COMPONENTS S.P.A.;147-752;
10;1078;;6,00;C54 C53 C51 C52 C50 C49;1210;C;1uF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 1uF, 100V, 10%, X7R, SMD, 1210;Avx;12101C105KAT2A;FARNELL ITALIA S.R.L.;1301814;Avx;12101C105KAT2A;RS COMPONENTS S.P.A.;698-3740;Avx;12101C105KAT2A;MOUSER ELECTRONICS;581-12101C105KAT2A;
11;1079;;2,00;C80 C79;1210;C;100uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 100uF, 6.3V, 10%, X5R, SMD, 1210;Kemet;C1210C107M9PAC7800;FARNELL ITALIA S.R.L.;1108328;Kemet;C1210C107M9PAC7800;RS COMPONENTS S.P.A.;691-1243;Kemet;C1210C107M9PAC7800;MOUSER ELECTRONICS;80-C1210C107M9P;
12;1237;;1,00;C67;0402;C;1nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 1nF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C102K5RACTU;FARNELL ITALIA S.R.L.;1414573;Kemet;C0402C102K5RACTU;MOUSER ELECTRONICS;80-C0402C102K5R;Kemet;C0402C102K5RACTU;RS COMPONENTS S.P.A.;147-566;
13;1485;;2,00;C97 C96;7343;C;47uF;35V;10%;Tantalum;200mR;;125C;Tantalum Capacitor, 47uF, 35V, 10%, SMD, 7343, h.4.1mm;Avx;TPSE476K035R0200;RS COMPONENTS S.P.A.;548-0170;Avx;TPSE476K035R0200;FARNELL ITALIA S.R.L.;1135125;Avx;TPSE476K035R0200;MOUSER ELECTRONICS;581-TPSE476K035R0200;
14;1558;;1,00;C68;-;C;100uF;63V;20%;Aluminium;;400mA @100kHz;105C;Electrolithic Capacitor, 100uF, 63V, SMD, Diam.10mm;Panasonic;EEEFK1J101P;FARNELL ITALIA S.R.L.;9696040;Panasonic;EEEFK1J101P;RS COMPONENTS S.P.A.;708-3623;Panasonic;EEEFK1J101P;MOUSER ELECTRONICS;667-EEE-FK1J101P;
15;1572;;3,00;C101 C99 C100;0402;C;47nF;25V;10%;X7R;;;;Multilayer Ceramic Capacitor, 47nF, 25V, 10%, X7R, SMD, 0402;Kemet;C0402C473K3RACTU;FARNELL ITALIA S.R.L.;1414595;Kemet;C0402C473K3RACTU;MOUSER ELECTRONICS;80-C0402C473K3R;Murata;GRM155R71E473KA88D;RS COMPONENTS S.P.A.;723-5256;
16;1681;;4,00;C87 C86 C85 C84;0402;C;100nF;25V;10%;Y5V;;;;Multilayer Ceramic Capacitor, 100nF, 25V, 10%, Y5V, SMD, 0402;Murata;GRM155F51E104ZA01D;DIGI-KEY CORPORATION;490-3271-6-ND;Murata;GRM155F51E104ZA01D;MOUSER ELECTRONICS;81-GRM155F51E104ZA01;Murata;GRM155F51E104ZA01D;RS COMPONENTS S.P.A.;723-5174;TDK;C1005Y5V1E104Z;FARNELL ITALIA S.R.L.;1907264;
17;1684;;2,00;C78 C77;0402;C;330pF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 330pF, 50V, 10%, X7R, SMD, 0402;TDK;C1005X7R1H331K;DIGI-KEY CORPORATION;445-4910-6-ND;TDK;C1005X7R1H331K;RS COMPONENTS S.P.A.;111-062;TDK;C1005X7R1H331K;FARNELL ITALIA S.R.L.;1844140;TDK;C1005X7R1H331K;MOUSER ELECTRONICS;810-C1005X7R1H331K;
18;2917;;1,00;C65;CAP-POL-CASEG;C;47uF;80V;20%;;;200mR @100kHz;105C;Electrolithic Capacitor, 47uF, 80V, SMD, Diam.10mm;Panasonic;EEEFK1K470P;FARNELL ITALIA S.R.L.;9696105;Panasonic;EEEFK1K470P;RS COMPONENTS S.P.A.;708-3699;Panasonic;EEEFK1K470P;MOUSER ELECTRONICS;667-EEE-FK1K470P;
19;4287;;2,00;C2 C1;0402;C;27pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 27pF, 50V, 5%, C0G, SMD, 0402;Murata;GRM1555C1H270JA01D;FARNELL ITALIA S.R.L.;1828877;Murata;GRM1555C1H270JA01D;RS COMPONENTS S.P.A.;723-5402;Murata;GRM1555C1H270JA01D;MOUSER ELECTRONICS;81-GRM1555C1H270JA1D;
20;5930;;10,00;C63 C64 C62 C61 C60 C59 C57 C58 C56 C55;0805;C;100nF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF,100V, 10%, X7R, SMD, 0805;AVX;08051C104K4Z2A;FARNELL ITALIA S.R.L.;1833851;
21;6153;;2,00;C95 C94;CAP-POL-CASEG;C;470uF;25V;20%;;90mohm@100kHz;;105C;Electrolithic Capacitor, 470uF, 25V, SMD, Diam.10x10.5mm;Rubycon;25TZV470M10X10.5;FARNELL ITALIA S.R.L.;1712593;
22;10001;;7,00;C40 C39 C38 C37 C36 C35 C34;0402;C;1uF;16V;10%;X5R;;;;Multilayer Ceramic Capacitor, 1uF, 16V, 10%, X5R, SMD, 0402;TDK;C1005X5R1C105K050BC;FARNELL ITALIA S.R.L.;2112701;Murata;GRM155R61C105KE01D;FARNELL ITALIA S.R.L.;2611905;
23;10061;;2,00;C105 C104;0402;C;680pF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 680pF, 50V, 10%, X7R, SMD, 0402;Kemet;C0402C681K5RACTU;FARNELL ITALIA S.R.L.;1865453;
24;10063;;3,00;C83 C81 C82;0402;C;47pF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 47pF, 50V, 5%, C0G, SMD, 0402;Kemet;C0402C470J5GACTU;FARNELL ITALIA S.R.L.;1414592;
25;10183;;1,00;C106;CAPAE1350;C;220uF;63V;20%;;;800mA @100kHz;105C;Electrolithic Capacitor, 220uF, 63V, SMD, Diam.12.5mm;Panasonic;EEVFK1J221Q;FARNELL ITALIA S.R.L.;9696059;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
26;288;;1,00;J3;53261-0471;CO;53261-0471;1A;;;;;;PCB connector, Picoblade, 4 contacts, 1 row, male, p.1.25mm, 90°, w to b, lock, key, SMD;Molex;53261-0471;RS COMPONENTS S.P.A.;542-7113;Molex;53261-0471;FARNELL ITALIA S.R.L.;1125374;
27;504;;1,00;TP1;TP-1206;CO;S1751-46;;;;;;;Test point, SMD, 1206;Harwin;S1751-46;FARNELL ITALIA S.R.L.;1022338;
28;631;;1,00;J20;53261-0771;CO;53261-0771;1A;;;;;;PCB connector, Picoblade, 7 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0771;FARNELL ITALIA S.R.L.;1125361;
29;1124;;2,00;J6 J4;53261-0671;CO;53261-0671;1A;;;;;;PCB connector, Picoblade, 6 contacts, 1 row, male, p.1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0671;FARNELL ITALIA S.R.L.;1125375;
30;1208;;1,00;J7;53398-0571;CO;53398-0571;1A;;;;;;PCB connector, Picoblade, 5 contacts, 1 row, male, p.1.25mm, Straight, b to b, nolock, key, SMD;Molex;53398-0571;FARNELL ITALIA S.R.L.;1125354;
31;1210;;1,00;J2;53398-0471;CO;53398-0471;1A;;;;;;PCB connector, Picoblade, 4 contacts, 1 row, male, p.1.25mm, Straight, w to b, nolock, key, SMD;Molex;53398-0471;FARNELL ITALIA S.R.L.;1125367;
32;1295;;1,00;J1;PSTRIP10X2_M_SMD;CO;FTSH-105-01-L-DV;1.75A;;;;;;PCB connector, Pin strip, 10 contacts, 2 rows, male, p.1.27mm, Straight, b to b, nolock, nokey, SMD;Samtec;FTSH-105-01-L-DV;FARNELL ITALIA S.R.L.;1667759;
33;2980;;5,00;J25 J24 J23 J22 J21;53261-0271;CO;53261-0271;1A;;;;;;PCB connector, Picoblade, 2 contacts, 1 row, male, p.1.25mm, 90°, w to b, lock, key, SMD;Molex;53261-0271;FARNELL ITALIA S.R.L.;1125373;
34;5452;;1,00;J5;MOLEX87438-0543;CO;87438-0543;3A;;;M.M;;;HEADER, PICO-SPOX, 5 contacts, Right Angle;Molex;87438-0543;FARNELL ITALIA S.R.L.;1711330;
35;10119;;5,00;J17 J11 J15 J12 J8;43045-0409;CO;43045-0409;5A;;;;;;PCB connector, Microfit, 4 contacts, 2 rows, male, p.3mm, 90°, w to b, lock, key, SMD;Molex;43045-0409;FARNELL ITALIA S.R.L.;9961542;
36;10120;;2,00;J14 J10;43045-0609;CO;43045-0609;5A;;;;;;PCB connector, Microfit, 6 contacts, 2 rows, male, p.3mm, 90°, w to b, lock, key, SMD;Molex;43045-0609;FARNELL ITALIA S.R.L.;9961550;
37;10121;;3,00;J16 J13 J9;43650-0212;CO;43650-0212;5A;;;;;;PCB connector, Microfit, 2 contacts, 1 rows, male, p.3mm, 90°, w to b, lock, key, SMD;Molex;43650-0212;FARNELL ITALIA S.R.L.;2459191;Molex;43650-0212;RS COMPONENTS S.P.A.;447-6811;
38;10122;;2,00;J18 J19;46015-0403;CO;46015-0403;13A;;;;;;PCB connector, Minifit, 4 contacts, 2 rows, male, p.3mm, straight, w to b, lock, key, THD;Molex;46015-0403;FARNELL ITALIA S.R.L.;1717563;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
39;565;;2,00;D6 D5;SOD123;DI;SS19L;1A;;;;;;Diode Schottky, Vrrm: 90V, If: 1A, Ifms: 30A, SMD, SOD123;Taiwan semiconductors;SS19L;FARNELL ITALIA S.R.L.;1559161;Taiwan semiconductors;SS19L;RS COMPONENTS S.P.A.;743-6015;
40;5929;;3,00;D3 D1 D2;DO214AC;DI;SMAJ58CA;40A;;;;;;Diode Transzorb, Vbr: 58V, Pp: 400W, Bidirectional, SMD, DO214AC;Multicomp;SMAJ58CA;FARNELL ITALIA S.R.L.;1579006RL;
41;5932;;1,00;D4;DO214AB;DI;MBRS3100T3G;3A;;M.M;;;;Diode schottky, Vrrm: 100V, If: 3A, Ifms: 130A, SMD, DO214AB;ON Semiconductors;MBRS3100T3G;FARNELL ITALIA S.R.L.;1459075;
42;6162;;2,00;D8 D7;TO263AB;DI;MBRB20H100CT;20A;;AM;;;;Diode schottky, Dual, Vrrm: 100V, If: 20A, Ifms: 200A, SMD, TO263AB;Vishay;MBRB20H100CT;FARNELL ITALIA S.R.L.;1859694;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Intensity;Led_color;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
43;1652;;3,00;DL3 DL2 DL1;LED0603;DL;SML-511UWT86R;40mcd;Red;;;;;Led diode, red, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-511UWT86R;FARNELL ITALIA S.R.L.;1685073;
44;1653;;2,00;DL13 DL12;LED0603;DL;SML-511DWT86R;40mcd;Orange;;;;;Led diode, orange, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-511DWT86R;FARNELL ITALIA S.R.L.;1685072;
45;1654;;7,00;DL9 DL10 DL8 DL7 DL6 DL5 DL4;LED0603;DL;SML-512MWT86R;40mcd;Green;;;;;Led diode, green, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-512MWT86R;FARNELL ITALIA S.R.L.;1685076;
46;1655;;1,00;DL11;LED0603;DL;OVS-0603;100mcd;Blue;;;;;Led diode, blue, 4V, 25mA, 100mcd, SMD, 0603;Avago technologies;OVS-0603;FARNELL ITALIA S.R.L.;1716770;
47;4565;;1,00;DL14;LED3MM;DL;SLR-343BC7T3F;470mcd;Blue;;;;;Led diode, blue, 3.2V, 20mA, 470mcd, THD, 3mm, cylindrical, round top;Rohm;SLR-343BC7T3F;MOUSER ELECTRONICS;755-SLR-343BC7T3F;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
48;241;;1,00;U10;SOT23-8;DR;MAX3051;3.3V;;;;;;CAN Transceiver, 3.3V, SMD, SOT23-8;Maxim;MAX3051EKA;DIGI-KEY CORPORATION;MAX3051EKA+T-ND;Maxim;MAX3051EKA;RS COMPONENTS S.P.A.;732-8992;Maxim;MAX3051EKA;MOUSER ELECTRONICS;700-MAX3051EKAT;
49;10181;;1,00;U11;S-PVQFN-N14;DR;TXS0104ERGYR;1.2/5.5V;;;AM;;;4-bit bidirectional voltage level translator for Open-Drain and Push-Pull applications;Texas Instruments;TXS0104ERGYR;FARNELL ITALIA S.R.L.;2335611;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Tolerance;Current;Voltage;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
